item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12
animal fries,bone in jamaican grilled chicken,fried chicken angara tender,,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
animal fries,,,,,,,,,,,
tipsy tiger ginger ale,grilled chicken peri peri tender,,,,,,,,,,
bone in kabuli grilled chicken,bone in peri peri grilled chicken,,,,,,,,,,
bone in jamaican grilled chicken,grilled chicken smoky bbq tangdi,,,,,,,,,,
fried chicken angara tender,,,,,,,,,,,
fried chicken classic tender,,,,,,,,,,,
bone in peri peri grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
animal fries,bone in smoky bbq grilled chicken,,,,,,,,,,
fried chicken angara tender,salted fries,fried chicken peri peri tender,,,,,,,,,
fried chicken angara tender,raw masala lemon shikanji,,,,,,,,,,
peri peri crisper fries,,,,,,,,,,,
animal fries,,,,,,,,,,,
bone in peri peri grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
bone in smoky bbq grilled chicken,cafreal dip,,,,,,,,,,
animal fries,,,,,,,,,,,
animal fries,grilled chicken jamaican tender,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in peri peri grilled chicken,garlic aioli,fried chicken classic tender,,,,,,,,,
bone in angara grilled chicken,,,,,,,,,,,
bone in angara grilled chicken,fried chicken classic tender,,,,,,,,,,
fried chicken classic tender,,,,,,,,,,,
bone in smoky bbq grilled chicken,bone in kabuli grilled chicken,,,,,,,,,,
animal fries,,,,,,,,,,,
bone in peri peri grilled chicken,,,,,,,,,,,
grilled chicken smoky bbq tangdi,jamaican sauce,onion rings,,,,,,,,,
grilled chicken angara tender,,,,,,,,,,,
bone in smoky bbq grilled chicken,bone in kabuli grilled chicken,,,,,,,,,,
grilled chicken peri peri tender,fried chicken peri peri tender,,,,,,,,,,
bone in peri peri grilled chicken,peri peri fries,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
animal fries,grilled chicken smoky bbq tender,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
grilled chicken smoky bbq tangdi,tipsy tiger ginger ale,bone in jamaican grilled chicken,,,,,,,,,
bone in peri peri grilled chicken,grilled chicken peri peri tender,,,,,,,,,,
animal fries,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
animal fries,aac grilled chicken burger,,,,,,,,,,
grilled chicken smoky bbq tender,,,,,,,,,,,
animal fries,,,,,,,,,,,
fried chicken ghostbuster tender,,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
peri peri fries,,,,,,,,,,,
fried chicken angara tender,fried chicken classic tender,grilled chicken jamaican tender,,,,,,,,,
garlic aioli,peri peri fries,grilled chicken angara tender,,,,,,,,,
fried chicken angara tender,cafreal dip,angara aloo tuk tuki,,,,,,,,,
bone in angara grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
mayonnaise,animal fries,,,,,,,,,,
fried chicken angara tender,fried chicken peri peri tender,,,,,,,,,,
bone in kabuli grilled chicken,grilled chicken tangdi jamaican + salted krispers,bone in smoky bbq grilled chicken,,,,,,,,,
bone in angara grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken quarter + angara rice,,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
fried chicken angara tender,,,,,,,,,,,
bone in peri peri grilled chicken,animal fries,,,,,,,,,,
fried chicken angara tender,,,,,,,,,,,
bone in peri peri grilled chicken,,,,,,,,,,,
grilled chicken smoky bbq tender,,,,,,,,,,,
grilled chicken jamaican tender,aac grilled chicken burger,bone in angara grilled chicken,fried chicken peri peri tender,,,,,,,,
fried chicken angara tender,,,,,,,,,,,
bone in smoky bbq grilled chicken ,,,,,,,,,,,
animal fries,,,,,,,,,,,
bone in jamaican grilled chicken ,,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
bone in peri peri grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
grilled chicken angara tender,grilled chicken smoky bbq tender,,,,,,,,,,
aac grilled paneer burger,kabuli grilled paneer (8 pcs),,,,,,,,,,
grilled chicken jamaican tender,grilled chicken angara tender,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
salted fries,bone in peri peri grilled chicken,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
fried chicken classic tender,,,,,,,,,,,
fried chicken classic tender,,,,,,,,,,,
angara rice,animal fries,tipsy tiger fresh lime soda,onion rings,,,,,,,,
grilled chicken smoky bbq tender,,,,,,,,,,,
grilled chicken jamaican tender,grilled chicken peri peri tender,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
bone in angara grilled chicken,,,,,,,,,,,
animal fries,angara sauce,ghostbuster sauce,fried chicken peri peri tender,,,,,,,,
bone in kabuli grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,bone in peri peri grilled chicken,,,,,,,,,,
bone in jamaican grilled chicken,grilled chicken smoky bbq tender,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
fried chicken peri peri tender,grilled chicken jamaican tender,,,,,,,,,,
bone in peri peri grilled chicken,grilled chicken tangdi jamaican + salted krispers,,,,,,,,,,
bone in peri peri grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
bone in angara grilled chicken,bone in peri peri grilled chicken,,,,,,,,,,
aac grilled chicken burger,,,,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
fried chicken peri peri tender,,,,,,,,,,,
garlic aioli,grilled chicken peri peri tender,aac saucy fries,indian pico de-gallo,,,,,,,,
indian pico de-gallo,aac fried paneer burger,aac grilled paneer burger,ghostbuster sauce,,,,,,,,
onion bombs,bone in smoky bbq grilled chicken,bone in jamaican grilled chicken quarter + angara rice,aac special slaw,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
fried chicken ghostbuster tender,fried chicken peri peri tender,,,,,,,,,,
angara rice,aac special slaw,,,,,,,,,,
bone in peri peri grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,bone in smoky bbq grilled chicken,,,,,,,,,,
aac signature fries,fried chicken classic tender,,,,,,,,,,
salted crisper fries,onion bombs,bone in jamaican grilled chicken,grilled chicken peri peri tender,grilled chicken jamaican tender,bone in kabuli grilled chicken,peri peri crisper fries,bone in angara grilled chicken,fried chicken ghostbuster tender,bone in peri peri grilled chicken,fried chicken kabuli tender,grilled chicken angara tender
bone in kabuli grilled chicken,fried chicken angara tender,bone in jamaican grilled chicken,fried chicken peri peri tender,,,,,,,,
fried chicken ghostbuster tender,bone in smoky bbq grilled chicken,grilled chicken jamaican tender,grilled chicken peri peri tangdi,,,,,,,,
bone in smoky bbq grilled chicken,grilled chicken jamaican tender,,,,,,,,,,
bone in angara grilled chicken,,,,,,,,,,,
bone in smoky bbq grilled chicken,bone in peri peri grilled chicken,,,,,,,,,,
fried chicken peri peri tender,grilled chicken jamaican tender,,,,,,,,,,
bone in smoky bbq grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
bone in jamaican grilled chicken,garlic aioli,bone in peri peri grilled chicken,indian pico de-gallo,,,,,,,,
grilled chicken jamaican tender,fried chicken peri peri tender,,,,,,,,,,
grilled chicken smoky bbq tender,bone in jamaican grilled chicken quarter + angara rice,,,,,,,,,,
grilled chicken angara tender,,,,,,,,,,,
bone in angara grilled chicken,bone in smoky bbq grilled chicken,,,,,,,,,,
bone in smoky bbq grilled chicken,fried chicken classic tender,fried chicken peri peri tender,,,,,,,,,
bone in angara grilled chicken,bone in smoky bbq grilled chicken,animal fries,,,,,,,,,
fried chicken peri peri tender,bone in angara grilled chicken,,,,,,,,,,
bone in peri peri grilled chicken,,,,,,,,,,,
onion bombs,animal fries,grilled chicken jamaican tender,kabuli grilled paneer (8 pcs),,,,,,,,
grilled chicken smoky bbq tangdi,grilled chicken jamaican tangdi,,,,,,,,,,
angara rice,bone in jamaican grilled chicken,,,,,,,,,,
bone in kabuli grilled chicken,angara rice,,,,,,,,,,
aac signature fries,grilled chicken ghostbuster tangdi,grilled chicken smoky bbq tangdi,,,,,,,,,
bone in jamaican grilled chicken quarter + angara rice,grilled chicken peri peri tender,,,,,,,,,,
bone in jamaican grilled chicken quarter + angara rice,,,,,,,,,,,
bone in angara grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,bone in smoky bbq grilled chicken,,,,,,,,,,
bone in smoky bbq grilled chicken,bone in jamaican grilled chicken quarter + angara rice,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
grilled chicken angara tender,animal fries,,,,,,,,,,
bone in kabuli grilled chicken,,,,,,,,,,,
aac saucy fries,,,,,,,,,,,
animal fries,,,,,,,,,,,
bone in kabuli grilled chicken,,,,,,,,,,,
mayonnaise,peri peri fries,harisa mayo,fried chicken classic tender,,,,,,,,
peri peri crisper fries,fried chicken peri peri tender,,,,,,,,,,
grilled chicken smoky bbq tender,,,,,,,,,,,
bone in peri peri grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
fried chicken peri peri tender,,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
bone in angara grilled chicken,,,,,,,,,,,
raw masala lemon shikanji,animal fries,grilled chicken jamaican tender,,,,,,,,,
bone in peri peri grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
peri peri fries,aac saucy fries,,,,,,,,,,
fried chicken classic tender,grilled chicken jamaican tender,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
fried chicken peri peri tender,grilled chicken jamaican tender,peri peri fries,,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
fried chicken classic tender,,,,,,,,,,,
peri peri crisper fries,fried chicken peri peri tender,grilled chicken jamaican tender,,,,,,,,,
grilled chicken smoky bbq tangdi,peri peri crisper fries,grilled chicken jamaican tender,,,,,,,,,
bone in peri peri grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in smoky bbq grilled chicken,aac grilled chicken burger,,,,,,,,,,
aac grilled chicken burger,kabuli grilled paneer (8 pcs),,,,,,,,,,
bone in angara grilled chicken,,,,,,,,,,,
fried chicken classic tender,,,,,,,,,,,
bone in jamaican grilled chicken,angara rice,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
grilled chicken jamaican tender,bone in peri peri grilled chicken,,,,,,,,,,
aac grilled chicken burger,,,,,,,,,,,
aac signature crisper fries,,,,,,,,,,,
fried chicken kabuli tender,fried chicken angara tender,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,grilled chicken jamaican tangdi,grilled chicken smoky bbq tender,angara rice,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in kabuli grilled chicken,bone in smoky bbq grilled chicken,bone in peri peri grilled chicken,animal fries,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
bone in peri peri grilled chicken,salted fries,,,,,,,,,,
grilled chicken smoky bbq tangdi,,,,,,,,,,,
animal fries,,,,,,,,,,,
grilled chicken jamaican tangdi,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
animal fries,fried chicken peri peri tender,,,,,,,,,,
fried chicken peri peri tender,animal fries,,,,,,,,,,
grilled chicken jamaican tender,grilled chicken angara tenders + salted fries,,,,,,,,,,
animal fries,,,,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
bone in jamaican grilled chicken,bone in peri peri grilled chicken,aac special slaw,,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
fried chicken peri peri tender,peri peri crisper fries,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
fried chicken classic tender,,,,,,,,,,,
aac signature crisper fries,bone in jamaican grilled chicken,,,,,,,,,,
fried chicken peri peri tender,,,,,,,,,,,
aac saucy fries,bone in peri peri grilled chicken,grilled chicken jamaican tender,,,,,,,,,
aac grilled chicken burger,,,,,,,,,,,
bone in smoky bbq grilled chicken,fried chicken classic tender,,,,,,,,,,
fried chicken peri peri tender,grilled chicken smoky bbq tender,fried chicken angara tender,bone in jamaican grilled chicken,,,,,,,,
bone in peri peri grilled chicken,,,,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
grilled chicken smoky bbq tender,onion rings,,,,,,,,,,
grilled chicken smoky bbq tangdi,,,,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
fried chicken peri peri tender,,,,,,,,,,,
bone in peri peri grilled chicken,,,,,,,,,,,
indian pico de-gallo,bone in jamaican grilled chicken,,,,,,,,,,
bone in peri peri grilled chicken,,,,,,,,,,,
fried chicken peri peri tender,,,,,,,,,,,
bone in peri peri grilled chicken,,,,,,,,,,,
animal fries,bone in jamaican grilled chicken,,,,,,,,,,
peri peri crisper fries,bone in smoky bbq grilled chicken,,,,,,,,,,
bone in kabuli grilled chicken,aac signature crisper fries,bone in peri peri grilled chicken,,,,,,,,,
jamaican sauce,bone in kabuli grilled chicken,,,,,,,,,,
grilled chicken peri peri tangdi,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
animal fries,,,,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
aac grilled chicken burger,,,,,,,,,,,
grilled chicken peri peri tender,,,,,,,,,,,
grilled chicken peri peri tender,,,,,,,,,,,
animal fries,,,,,,,,,,,
grilled chicken smoky bbq tender,angara grilled paneer (8 pcs),,,,,,,,,,
angara sauce,aac saucy fries,,,,,,,,,,
grilled chicken jamaican tender,fried chicken classic tender,grilled chicken smoky bbq tangdi,aac grilled chicken burger,iced green tea - peach,aac signature fries,peri peri crisper fries,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
grilled chicken angara tender,grilled chicken jamaican tender,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
grilled chicken smoky bbq tender,animal fries,,,,,,,,,,
angara rice,grilled chicken angara tender,fried chicken peri peri tender,animal fries,angara aloo tuk tuki,,,,,,,
bone in smoky bbq grilled chicken,aac special slaw,,,,,,,,,,
fried chicken peri peri tender,,,,,,,,,,,
bone in kabuli grilled chicken,bone in jamaican grilled chicken,animal fries,,,,,,,,,
grilled chicken peri peri tender,,,,,,,,,,,
bone in jamaican grilled chicken,animal fries,,,,,,,,,,
grilled chicken jamaican tender,fried chicken classic tender,,,,,,,,,,
fried chicken kabuli tender,,,,,,,,,,,
bone in angara grilled chicken,,,,,,,,,,,
bone in angara grilled chicken,,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
fried chicken peri peri tender,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
onion rings,bone in jamaican grilled chicken,,,,,,,,,,
bone in angara grilled chicken,,,,,,,,,,,
bone in kabuli grilled chicken,,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
bone in peri peri grilled chicken,grilled chicken angara tender,onion bombs,aac special slaw,bone in kabuli grilled chicken,animal fries,grilled chicken jamaican tender,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
fried chicken classic tender,,,,,,,,,,,
aac saucy fries,,,,,,,,,,,
animal fries,bone in jamaican grilled chicken,,,,,,,,,,
fried chicken peri peri tender,,,,,,,,,,,
aac signature crisper fries,,,,,,,,,,,
grilled chicken jamaican tender,salted fries,bone in jamaican grilled chicken,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
grilled chicken angara tender,bone in jamaican grilled chicken,,,,,,,,,,
aac grilled chicken burger,grilled chicken jamaican tender,,,,,,,,,,
fried chicken peri peri tender,,,,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
animal fries,,,,,,,,,,,
animal fries,,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
bone in kabuli grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
aac saucy fries,,,,,,,,,,,
grilled chicken smoky bbq tender,,,,,,,,,,,
fried chicken angara tender,fried chicken kabuli tender,,,,,,,,,,
grilled chicken peri peri tender,,,,,,,,,,,
fried chicken ghostbuster tender,grilled chicken peri peri tender,grilled chicken jamaican tangdi,,,,,,,,,
grilled chicken jamaican tender,aac signature fries,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in angara grilled chicken,,,,,,,,,,,
bone in peri peri grilled chicken,aac signature crisper fries,,,,,,,,,,
animal fries,aac grilled chicken burger,,,,,,,,,,
fried chicken peri peri tender,,,,,,,,,,,
animal fries,,,,,,,,,,,
bone in jamaican grilled chicken ,grilled chicken ghostbuster tangdi,,,,,,,,,,
bone in jamaican grilled chicken quarter + angara rice,,,,,,,,,,,
jamaican chicken melt,salted crisper fries,malai gud pide,fried chicken strips,,,,,,,,
tripple cheese pizza,chilli cheese garlic bread,,,,,,,,,,
mushroom pizza,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
bageecha pizza,cheesy garlic bread,,,,,,,,,,
masala paneer pide,makhani paneer pizza,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
angara paneer melt,chilli cheese garlic bread,bageecha pizza,,,,,,,,,
cheesy garlic bread,angara paneer melt,,,,,,,,,,
peri peri chicken melt,,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
peri peri paneer pizza,,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
murgh amritsari garlic bread,,,,,,,,,,,
margherita pizza,,,,,,,,,,,
cheesy garlic bread,,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
murgh amritsari seekh pide,,,,,,,,,,,
jamaican chicken melt,bageecha pizza,,,,,,,,,,
all about chicken pizza,murgh amritsari garlic bread,,,,,,,,,,
masala paneer pide,chilli cheese garlic bread,,,,,,,,,,
cheesy garlic bread,,,,,,,,,,,
margherita pizza,,,,,,,,,,,
peanut butter chocolate pide,all about chicken pizza,,,,,,,,,,
cheesy garlic bread,,,,,,,,,,,
masala potato pide,herbed potato,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
murgh amritsari seekh pide,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
jamaican chicken melt,,,,,,,,,,,
murgh amritsari garlic bread,bageecha pizza,,,,,,,,,,
peri peri crisper fries,mushroom pizza,,,,,,,,,,
margherita pizza,,,,,,,,,,,
grilled tangdis,,,,,,,,,,,
pepperoni garlic bread,,,,,,,,,,,
jamaican chicken melt,,,,,,,,,,,
malai gud pide,harisa mayo,herbed potato,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
grilled tangdis,margherita pizza,,,,,,,,,,
just pepperoni pide,,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
fried chicken strips,murgh amritsari seekh pide,,,,,,,,,,
bageecha pizza,margherita pizza,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
cheesy garlic bread,,,,,,,,,,,
angara paneer melt,,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
cheesy garlic bread,,,,,,,,,,,
bellpepper onion pizza,chilli cheese garlic bread,,,,,,,,,,
garlic aioli,raw masala lemon shikanji,indian masala cripser fries,,,,,,,,,
chicken pepperoni pizza,,,,,,,,,,,
murgh amritsari seekh pide,,,,,,,,,,,
cheesy garlic bread,bageecha pizza,grilled tangdis,,,,,,,,,
tripple cheese pizza,onion rings,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
cheesy garlic bread,,,,,,,,,,,
bageecha pizza,chilli cheese garlic bread,,,,,,,,,,
makhani paneer pizza,chilli cheese garlic bread,malai gud pide,bageecha pizza,,,,,,,,
makhani paneer pizza,masala paneer pide,indian masala cripser fries,onion rings,,,,,,,,
all about chicken pizza,cheesy garlic bread,,,,,,,,,,
cheesy garlic bread,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
masala paneer pide,,,,,,,,,,,
murgh amritsari garlic bread,margherita pizza,,,,,,,,,,
cheesy garlic bread,,,,,,,,,,,
bageecha pizza,mutton seekh pizza,makhani paneer pizza,chicken pepperoni pizza,peri peri paneer pizza,all about chicken pizza,,,,,,
murgh amritsari seekh melt,,,,,,,,,,,
masala paneer pide,,,,,,,,,,,
just pepperoni pizza,chilli cheese garlic bread,,,,,,,,,,
grilled tangdis,,,,,,,,,,,
jamaican chicken melt,,,,,,,,,,,
chilli cheese garlic bread,bageecha pizza,,,,,,,,,,
chilli cheese garlic bread,murgh amritsari garlic bread,,,,,,,,,,
peri peri crisper fries,tripple cheese pizza,,,,,,,,,,
iced green tea - mojito,chicken pepperoni pizza,murgh amritsari seekh melt,,,,,,,,,
mushroom pizza,,,,,,,,,,,
peri peri crisper fries,,,,,,,,,,,
angara paneer melt,,,,,,,,,,,
chilli cheese garlic bread,desi pepperoni pizza,indian masala cripser fries,margherita pizza,murgh amritsari seekh pizza,,,,,,,
peri peri crisper fries,makhani paneer pizza,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
margherita pizza,,,,,,,,,,,
murgh amritsari garlic bread,,,,,,,,,,,
cheesy garlic bread,,,,,,,,,,,
spinach sumac pide,mushroom mozzarella melt,,,,,,,,,,
murgh amritsari garlic bread,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
makhani paneer pizza,bageecha pizza,,,,,,,,,,
grilled tangdis,,,,,,,,,,,
bageecha pizza,margherita pizza,jamaican chicken melt,,,,,,,,,
herbed potato,,,,,,,,,,,
just pepperoni pizza,herbed potato,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
jamaican chicken melt,,,,,,,,,,,
cheesy garlic bread,,,,,,,,,,,
peri peri crisper fries,murgh amritsari garlic bread,,,,,,,,,,
chilli cheese garlic bread,jamaican chicken melt,,,,,,,,,,
margherita pizza,,,,,,,,,,,
angara paneer melt,,,,,,,,,,,
spinach sumac pide,,,,,,,,,,,
masala paneer pide,,,,,,,,,,,
pepperoni garlic bread,jamaican chicken melt,,,,,,,,,,
peri peri crisper fries,,,,,,,,,,,
just pepperoni pizza,og cheese pide,,,,,,,,,,
pepperoni garlic bread,,,,,,,,,,,
angara paneer melt,margherita pizza,,,,,,,,,,
cheesy garlic bread,indian masala cripser fries,,,,,,,,,,
jamaican chicken melt,murgh amritsari garlic bread,,,,,,,,,,
jamaican chicken melt,,,,,,,,,,,
murgh amritsari garlic bread,,,,,,,,,,,
margherita pizza,jamaican chicken melt,,,,,,,,,,
chilli cheese garlic bread,all about chicken pizza,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
margherita pizza,,,,,,,,,,,
bageecha pizza,tripple cheese pizza,margherita pizza,mushroom pizza,chilli cheese garlic bread,,,,,,,
just pepperoni pizza,margherita pizza,tripple cheese pizza,,,,,,,,,
margherita pizza,,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
peri peri grilled chicken pizza,,,,,,,,,,,
murgh amritsari seekh melt,,,,,,,,,,,
mushroom pizza,makhani paneer pizza,bageecha pizza,,,,,,,,,
chilli cheese garlic bread,bageecha pizza,,,,,,,,,,
peri peri paneer pizza,mushroom mozzarella melt,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
peri peri paneer pizza,,,,,,,,,,,
murgh amritsari garlic bread,tripple cheese pizza,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
peri peri paneer pizza,makhani paneer pizza,,,,,,,,,,
margherita pizza,,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
peri peri paneer pizza,,,,,,,,,,,
all about chicken pizza,fried chicken strips,peri peri crisper fries,,,,,,,,,
bageecha pizza,,,,,,,,,,,
pepperoni garlic bread,,,,,,,,,,,
jamaican chicken melt,murgh amritsari garlic bread,,,,,,,,,,
murgh amritsari garlic bread,,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
cheesy garlic bread,just pepperoni pizza,,,,,,,,,,
salted crisper fries,indian masala cripser fries,,,,,,,,,,
spinach sumac pide,,,,,,,,,,,
jamaican chicken melt,just pepperoni pizza,herbed potato,,,,,,,,,
just pepperoni pide,bacon pepperoni melt,,,,,,,,,,
murgh amritsari seekh pide,,,,,,,,,,,
desi chicken pepperoni pizza,murgh amritsari seekh pizza,bacon pepperoni melt,,,,,,,,,
makhani paneer pizza,tripple cheese pizza,,,,,,,,,,
chilli cheese garlic bread,peri peri crisper fries,,,,,,,,,,
all about chicken pizza,murgh amritsari seekh pizza,,,,,,,,,,
chicken pepperoni pizza,,,,,,,,,,,
garlic aioli,just pepperoni pizza,,,,,,,,,,
murgh amritsari seekh pide,masala paneer pide,,,,,,,,,,
peanut butter chocolate pide,chilli cheese garlic bread,,,,,,,,,,
jamaican chicken melt,murgh amritsari seekh melt,,,,,,,,,,
bageecha pizza,jamaican chicken melt,,,,,,,,,,
murgh amritsari garlic bread,,,,,,,,,,,
bageecha pizza,makhani paneer pizza,,,,,,,,,,
margherita pizza,just pepperoni pizza,,,,,,,,,,
peri peri paneer melt,peri peri paneer pizza,,,,,,,,,,
jamaican chicken melt,just pepperoni pizza,,,,,,,,,,
cheesy garlic bread,just pepperoni pide,,,,,,,,,,
masala paneer pide,cheesy garlic bread,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
angara paneer melt,,,,,,,,,,,
margherita pizza,,,,,,,,,,,
murgh amritsari seekh pizza,all about chicken pizza,,,,,,,,,,
masala paneer pide,murgh amritsari seekh pide,,,,,,,,,,
murgh amritsari seekh pide,just pepperoni pide,,,,,,,,,,
just pepperoni pizza,mushroom pizza,,,,,,,,,,
jamaican chicken melt,salted crisper fries,,,,,,,,,,
margherita pizza,jamaican chicken melt,,,,,,,,,,
angara paneer melt,jamaican chicken melt,cheesy garlic bread,fried chicken strips,,,,,,,,
tripple cheese pizza,bageecha pizza,,,,,,,,,,
chilli cheese garlic bread,makhani paneer pizza,cheesy garlic bread,bageecha pizza,,,,,,,,
murgh amritsari garlic bread,chilli cheese garlic bread,fried chicken strips,peri peri crisper fries,,,,,,,,
cheesy garlic bread,bageecha pizza,bellpepper onion pizza,chilli cheese garlic bread,,,,,,,,
spinach sumac pide,,,,,,,,,,,
cheesy garlic bread,brocolli onion pizza,,,,,,,,,,
bageecha pizza,makhani paneer pizza,,,,,,,,,,
cheesy garlic bread,just pepperoni pizza,,,,,,,,,,
masala paneer pide,spinach sumac pide,,,,,,,,,,
bageecha pizza,mushroom pizza,,,,,,,,,,
murgh amritsari seekh pide,mutton seekh pide,,,,,,,,,,
chilli cheese garlic bread,herbed potato,,,,,,,,,,
bageecha pizza,chilli cheese garlic bread,onion rings,all about chicken pizza,,,,,,,,
murgh amritsari seekh melt,jamaican chicken melt,peri peri chicken melt,,,,,,,,,
margherita pizza,angara paneer melt,,,,,,,,,,
mushroom pizza,bageecha pizza,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
mushroom pizza,,,,,,,,,,,
margherita pizza,,,,,,,,,,,
